"","edgeuid","x"
"355",153309552,40
"356",153309554,25
"357",153309555,40
"358",153309556,40
"359",153309557,5
"360",153309558,20
"361",153309559,20
"362",153309561,15
"363",153309563,505
"364",153309565,660
"365",153309566,615
"366",153309567,610
"367",153309570,640
"368",153309571,630
"369",153309572,640
"370",153309573,585
"371",153309574,10
"372",153309575,25
"373",153309576,50
"374",153309577,595
"375",153309578,25
"376",153309579,5
"377",153309580,5
"378",153309582,5
"379",153309583,10
"380",153309585,15
"381",153309588,5
"382",153309589,25
"383",153309591,5
"384",153309592,5
"385",153309594,20
"386",153309595,10
"387",153309596,10
"388",153309598,5
"389",153309608,640
"390",153309609,625
"391",153309611,345
"392",153309613,40
"393",153309615,2180
"394",153309616,45
"395",153309617,45
"396",153309619,10
"397",153309620,15
"398",153309621,10
"399",153309622,10
"400",153309623,40
"401",153309624,15
"402",153309625,95
"403",153309626,5
"404",153309627,85
"405",153309628,10
"406",153309632,10
"407",153309636,5
"408",153309640,5
"409",153309642,55
"410",153309643,100
"411",153309644,200
"412",153309645,205
"413",153309646,290
"414",153309647,300
"415",153309648,80
"416",153309649,205
"417",153309652,120
"418",153309653,155
"419",153309654,225
"420",153309655,225
"421",153309656,45
"422",153309658,185
"423",153309659,170
"424",153309660,115
"425",153309661,15
"426",153309663,5
"427",153309670,195
"428",153309672,215
"429",153309675,105
"430",153309676,215
"431",153309677,490
"432",153309680,20
"433",153309681,20
"434",153309682,170
"435",153309683,30
"436",153309685,160
"437",153309690,5
"438",153309692,5
"439",153309693,5
"440",153309694,20
"441",153309695,25
"442",153309696,20
"443",153309697,15
"444",153309698,5
"445",153309700,5
"446",153309701,5
"447",153309707,5
"448",153309708,5
"449",153309709,5
"450",153309716,210
"451",153309717,625
"452",153309718,160
"453",153309719,15
"454",153309720,140
"455",153309721,30
"456",153309725,10
"457",153309726,35
"458",153309727,5
"459",153309737,5
"460",153309740,35
"461",153309741,30
"462",153309742,35
"463",153309745,10
"464",153309746,100
"465",153309747,45
"466",153309748,175
"467",153309749,190
"468",153309750,185
"469",153309751,35
"470",153309752,385
"471",153309753,40
"472",153309757,90
"473",153309758,390
"474",153309760,370
"475",153309765,20
"476",153309769,10
"477",153309770,35
"478",153309771,305
"479",153309773,330
"480",153309775,265
"481",153309776,305
"482",153309777,15
"483",153309778,305
"484",153309781,20
"485",153309814,20
"486",153309817,15
"487",153309820,5
"488",153309821,65
"489",153309829,50
"490",153309830,5
"491",153309831,5
"492",153309832,35
"493",153309833,15
"494",153309835,5
"495",153309836,5
"496",153309838,5
"497",153309841,5
"498",153309842,5
"499",153309843,40
"500",153309847,5
"501",153309849,10
"502",153309850,5
"503",153309851,5
"504",153309858,20
"505",153309859,30
"506",153309860,30
"507",153309861,30
"508",153309862,65
"509",153309863,75
"510",153309865,5
"511",153309866,5
"512",153309869,75
"513",153309872,110
"514",153309873,100
"515",153309877,120
"516",153309883,70
"517",153309897,5
"518",153309898,5
"519",153309904,5
"520",153309911,5
"521",153309922,110
"522",153309923,120
"523",153309925,15
"524",153309926,10
"525",153309927,15
"526",153309928,10
"527",153309943,15
"528",153309944,15
"529",153309945,15
"530",153309946,15
"531",153309947,15
"532",153309951,10
"533",153309953,10
"534",153309987,10
"535",153310006,10
"536",153310007,10
"537",153310010,115
"538",153310011,115
"539",153310012,120
"540",153310017,110
"541",153310019,80
"542",153310021,100
"543",153310022,105
"544",153310028,10
"545",153310031,115
"546",153310037,110
"547",153310044,100
"548",153310055,1580
"549",153310062,425
"550",153310063,515
"551",153310064,545
"552",153310067,560
"553",153310068,575
"554",153310070,5
"555",153310072,570
"556",153310073,5
"557",153310075,5
"558",153310076,5
"559",153310077,10
"560",153310078,120
"561",153310079,505
"562",153310081,525
"563",153310082,525
"564",153310084,30
"565",153310096,60
"566",153310097,445
"567",153310101,20
"568",153310102,25
"569",153310103,20
"570",153310126,20
"571",153310127,5
"572",153310139,5
"573",153310142,5
"574",153310143,65
"575",153310154,10
"576",153310172,70
"577",153310174,40
"578",153310175,65
"579",153310178,20
"580",153310180,75
"581",153310182,15
"582",153310183,25
"583",153310196,5
"584",153310205,30
"585",153310212,5
"586",153310216,760
"587",153310217,10
"588",153310218,755
"589",153310219,10
"590",153310220,10
"591",153310221,10
"592",153310225,5
"593",153310229,5
"594",153310233,40
"595",153310234,25
"596",153310235,35
"597",153310236,35
"598",153310241,35
"599",153310244,35
"600",153310247,10
"601",153310248,35
"602",153310252,25
"603",153310256,35
"604",153310257,25
"605",153310260,10
"606",153310261,15
"607",153310268,5
"608",153310308,5
"609",153310311,690
"610",153310312,755
"611",153310313,795
"612",153310322,15
"613",153310323,5
"614",153310324,5
"615",153310330,5
"616",153310331,5
"617",153310332,10
"618",153310333,15
"619",153310334,10
"620",153310337,20
"621",153310339,15
"622",153310345,20
"623",153310346,15
"624",153310347,20
"625",153310361,10
"626",153310381,15
"627",153310382,15
"628",153310383,15
"629",153310384,10
"630",153310385,15
"631",153310387,15
"632",153310389,720
"633",153310390,700
"634",153310393,770
"635",153310396,885
"636",153310397,5
"637",153310398,750
"638",153310399,995
"639",153310400,780
"640",153310401,705
"641",153310405,840
"642",153310406,370
"643",153310409,1420
"644",153310411,1415
"645",153310412,90
"646",153310414,5
"647",153310415,1540
"648",153310416,45
"649",153310418,1655
"650",153310425,55
"651",153310426,45
"652",153310427,10
"653",153310430,85
"654",153310431,1670
"655",153310439,1415
"656",153310440,1425
"657",153310449,5
"658",153310455,1415
"659",153310463,1370
"660",153310465,20
"661",153310490,35
"662",153310491,35
"663",153310497,5
"664",153310498,1440
"665",153310502,1445
"666",153310509,1465
"667",153310510,10
"668",153310517,15
"669",153310519,10
"670",153310520,35
"671",153310521,15
"672",153310523,20
"673",153310524,10
"674",153310525,1380
"675",153310527,20
"676",153310529,25
"677",153310531,1380
"678",153310534,5
"679",153310538,15
"680",153310540,15
"681",153310543,15
"682",153310545,15
"683",153310546,15
"684",153310548,5
"685",153310549,15
"686",153310552,5
"687",153310553,5
"688",153310561,5
"689",153310562,5
"690",153310563,5
"691",153310564,5
"692",153310568,5
"693",153310578,80
"694",153310586,5
"695",153310587,5
"696",153310588,45
"697",153310593,5
"698",153310602,20
"699",153310604,15
"700",153310609,25
"701",153310613,90
"702",153310614,5
"703",153310618,15
"704",153310619,15
"705",153310621,15
"706",153310622,15
"707",153310623,35
"708",153310625,25
"709",153310626,35
"710",153310627,40
"711",153310631,20
"712",153310632,5
"713",153310633,5
"714",153310634,5
"715",153310636,5
"716",153310637,5
"717",153310652,5
"718",153310698,5
"719",153310758,1385
"720",153310761,10
"721",153310764,20
"722",153310765,20
"723",153310766,15
"724",153310767,25
"725",153310850,5
"726",153310865,215
"727",153310866,225
"728",153310867,50
"729",153310868,40
"730",153310869,40
"731",153310870,210
"732",153310871,40
"733",153310872,200
"734",153310873,190
"735",153310876,185
"736",153310885,155
"737",153310888,50
"738",153310889,50
"739",153310890,50
"740",153310891,25
"741",153310892,165
"742",153310894,50
"743",153310895,165
"744",153310896,170
"745",153310907,15
"746",153310908,15
"747",153310909,15
"748",153310910,15
"749",153310925,175
"750",153310926,175
"751",153310929,45
"752",153310930,10
"753",153310932,20
"754",153310933,185
"755",153310934,5
"756",153310935,60
"757",153310937,55
"758",153310938,20
"759",153310940,180
"760",153310941,85
"761",153310942,85
"762",153310943,45
"763",153310945,70
"764",153310946,5
"765",153310947,80
"766",153310948,80
"767",153310949,15
"768",153310950,70
"769",153310955,175
"770",153310956,645
"771",153310957,260
"772",153310958,775
"773",153310959,785
"774",153310960,770
"775",153310962,850
"776",153310965,20
"777",153310966,850
"778",153310967,840
"779",153310971,840
"780",153310973,760
"781",153310974,90
"782",153310983,10
"783",153310985,25
"784",153310987,15
"785",153310988,30
"786",153310989,705
"787",153310991,65
"788",153310992,50
"789",153310993,725
"790",153310994,50
"791",153310995,745
"792",153311002,840
"793",153311003,845
"794",153311004,850
"795",153311019,840
"796",153311024,860
"797",153311028,860
"798",153311031,865
"799",153311035,50
"800",153311036,5
"801",153311049,885
"802",153311052,40
"803",153311053,40
"804",153311054,40
"805",153311055,835
"806",153311056,15
"807",153311057,20
"808",153311059,35
"809",153311060,40
"810",153311064,15
"811",153311067,30
"812",153311068,25
"813",153311069,15
"814",153311070,5
"815",153311072,10
"816",153311073,5
"817",153311075,15
"818",153311076,15
"819",153311077,35
"820",153311079,35
"821",153311080,40
"822",153311081,35
"823",153311097,35
"824",153311099,35
"825",153311100,35
"826",153311101,45
"827",153311113,40
"828",153311118,25
"829",153311119,25
"830",153311120,25
"831",153311123,25
"832",153311126,35
"833",153311131,45
"834",153311133,35
"835",153311134,35
"836",153311137,45
"837",153311139,120
"838",153311141,100
"839",153311183,10
"840",153311187,15
"841",153311190,10
"842",153311198,10
"843",153311200,45
"844",153311201,115
"845",153311202,125
"846",153311203,150
"847",153311204,165
"848",153311206,135
"849",153311207,180
"850",153311208,145
"851",153311211,15
"852",153311212,15
"853",153311213,15
"854",153311214,65
"855",153311215,1080
"856",153311222,65
"857",153311241,10
"858",153311242,1710
"859",153311245,30
"860",153311258,5
"861",153311261,5
"862",153311273,1555
"863",153311274,50
"864",153311275,235
"865",153311292,670
"866",153311296,20
"867",153311300,690
"868",153311301,1680
"869",153311302,2785
"870",153311307,2780
"871",153311310,280
"872",153311313,5
"873",153311314,320
"874",153311315,3350
"875",153311316,320
"876",153311317,625
"877",153311320,5
"878",153311322,5
"879",153311329,1840
"880",153311330,1770
"881",153311331,25
"882",153311332,25
"883",153311346,80
"884",153311347,80
"885",153311348,35
"886",153311349,70
"887",153311350,5
"888",153311351,25
"889",153311352,45
"890",153311354,55
"891",153311368,480
"892",153311370,1825
"893",153311371,1845
"894",153311372,1680
"895",153311375,75
"896",153311379,485
"897",153311381,375
"898",153311383,25
"899",153311386,5
"900",153311388,5
"901",153311390,20
"902",153311391,55
"903",153311401,30
"904",153311404,25
"905",153311405,580
"906",153311408,570
"907",153311413,565
"908",153311414,565
"909",153311417,485
"910",153311432,10
"911",153311433,10
"912",153311440,5
"913",153311449,5
"914",153311458,5
"915",153311461,145
"916",153311464,5
"917",153311465,145
"918",153311469,145
"919",153311470,120
"920",153311471,80
"921",153311474,85
"922",153311475,5
"923",153311476,25
"924",153311480,10
"925",153311481,805
"926",153311482,610
"927",153311483,845
"928",153311484,815
"929",153311485,1830
"930",153311486,745
"931",153311489,975
"932",153311490,730
"933",153311493,890
"934",153311494,910
"935",153311495,10
"936",153311498,890
"937",153311503,105
"938",153311515,25
"939",153311516,20
"940",153311518,25
"941",153311519,10
"942",153311521,10
"943",153311523,5
"944",153311524,5
"945",153311526,5
"946",153311527,5
"947",153311535,30
"948",153311539,5
"949",153311543,5
"950",153311544,35
"951",153311545,30
"952",153311551,10
"953",153311557,10
"954",153311565,10
"955",153311567,25
"956",153311568,10
"957",153311575,5
"958",153311578,40
"959",153311581,25
"960",153311585,15
"961",153311590,130
"962",153311609,20
"963",153311610,5
"964",153311613,5
"965",153311620,80
"966",153311626,75
"967",153311651,5
"968",153311671,115
"969",153311672,120
"970",153311673,5
"971",153311675,5
"972",153311677,125
"973",153311681,115
"974",153311682,5
"975",153311683,5
"976",153311684,5
"977",153311692,70
"978",153311693,75
"979",153311694,70
"980",153311695,5
"981",153311700,75
"982",153311705,75
"983",153311706,80
"984",153311709,50
"985",153311712,55
"986",153311713,60
"987",153311714,60
"988",153311715,60
"989",153311717,50
"990",153311719,60
"991",153311720,50
"992",153311722,890
"993",153311723,965
"994",153311724,1000
"995",153311725,955
"996",153311726,1015
"997",153311728,990
"998",153311729,2160
"999",153311731,1850
"1000",153311732,2045
"1001",153311733,2150
"1002",153311734,2105
"1003",153311736,1695
"1004",153311737,265
"1005",153311739,1695
"1006",153311745,150
"1007",153311750,1370
"1008",153311751,1715
"1009",153311752,1705
"1010",153311753,90
"1011",153311754,140
"1012",153311791,15
"1013",153311794,20
"1014",153311801,20
"1015",153311805,20
"1016",153311806,15
"1017",153311808,135
"1018",153311821,5
"1019",153311824,25
"1020",153311825,10
"1021",153311827,55
"1022",153311834,140
"1023",153311836,685
"1024",153311837,530
"1025",153311839,555
"1026",153311841,570
"1027",153311843,545
"1028",153311844,465
"1029",153311845,590
"1030",153311847,15
"1031",153311903,10
"1032",153311909,10
"1033",153311930,65
"1034",153311937,85
"1035",153311938,15
"1036",153311941,90
"1037",153311942,905
"1038",153311943,905
"1039",153311945,850
"1040",153311951,1125
"1041",153311952,5
"1042",153311953,5
"1043",153311955,5
"1044",153311956,5
"1045",153311972,15
"1046",153311973,5
"1047",153311979,25
"1048",153311988,160
"1049",153311990,180
"1050",153311991,150
"1051",153311992,100
"1052",153311996,10
"1053",153311997,15
"1054",153311998,40
"1055",153311999,10
"1056",153312000,45
"1057",153312001,5
"1058",153312002,20
"1059",153312004,5
"1060",153312011,20
"1061",153312013,10
"1062",153312014,5
"1063",153312016,25
"1064",153312029,20
"1065",153312031,35
"1066",153312032,30
"1067",153312034,25
"1068",153312035,5
"1069",153312041,25
"1070",153312042,35
"1071",153312043,10
"1072",153312044,30
"1073",153312047,5
"1074",153312068,10
"1075",153312069,35
"1076",153312076,20
"1077",153312087,120
"1078",153312106,760
"1079",153312107,600
"1080",153312108,50
"1081",153312109,45
"1082",153312113,50
"1083",153312114,50
"1084",153312115,30
"1085",153312123,25
"1086",153312128,10
"1087",153312129,20
"1088",153312130,5
"1089",153312131,10
"1090",153312133,40
"1091",153312177,30
"1092",153312198,20
